Time,PID,Tickets,Pass,Stride,Runtime
100,5,1,0,1024,11
100,4,8,0,128,3
100,6,2,0,512,10
100,7,4,0,256,10
100,8,8,0,128,10
100,9,16,0,64,9
100,10,32,0,32,9
100,11,32,0,32,9
100,12,32,0,32,9
100,13,32,0,32,9
100,14,32,0,32,9
821,5,1,0,1024,83
821,4,8,0,128,4
821,6,2,0,512,82
821,7,4,0,256,82
821,8,8,0,128,82
821,9,16,0,64,81
821,10,32,0,32,81
821,11,32,0,32,81
821,12,32,0,32,81
821,13,32,0,32,81
821,14,32,0,32,81
1542,5,1,0,1024,155
1542,4,8,0,128,5
1542,6,2,0,512,154
1542,7,4,0,256,154
1542,8,8,0,128,154
1542,9,16,0,64,153
1542,10,32,0,32,153
1542,11,32,0,32,153
1542,12,32,0,32,153
1542,13,32,0,32,153
1542,14,32,0,32,153
2312,5,1,0,1024,232
2312,4,8,0,128,5
2312,6,2,0,512,231
2312,7,4,0,256,231
2312,8,8,0,128,231
2312,9,16,0,64,230
2312,10,32,0,32,230
2312,11,32,0,32,230
2312,12,32,0,32,230
2312,13,32,0,32,230
2312,14,32,0,32,230
3033,5,1,0,1024,304
3033,4,8,0,128,6
3033,6,2,0,512,303
3033,7,4,0,256,303
3033,8,8,0,128,303
3033,9,16,0,64,302
3033,10,32,0,32,302
3033,11,32,0,32,302
3033,12,32,0,32,302
3033,13,32,0,32,302
3033,14,32,0,32,302
3793,5,1,0,1024,380
3793,4,8,0,128,6
3793,6,2,0,512,379
3793,7,4,0,256,379
3793,8,8,0,128,379
3793,9,16,0,64,378
3793,10,32,0,32,378
3793,11,32,0,32,378
3793,12,32,0,32,378
3793,13,32,0,32,378
3793,14,32,0,32,378
4503,5,1,0,1024,451
4503,4,8,0,128,6
4503,6,2,0,512,450
4503,7,4,0,256,450
4503,8,8,0,128,450
4503,9,16,0,64,449
4503,10,32,0,32,449
4503,11,32,0,32,449
4503,12,32,0,32,449
4503,13,32,0,32,449
4503,14,32,0,32,449
5213,5,1,0,1024,522
5213,4,8,0,128,6
5213,6,2,0,512,521
5213,7,4,0,256,521
5213,8,8,0,128,521
5213,9,16,0,64,520
5213,10,32,0,32,520
5213,11,32,0,32,520
5213,12,32,0,32,520
5213,13,32,0,32,520
5213,14,32,0,32,520
5964,5,1,0,1024,597
5964,4,8,0,128,7
5964,6,2,0,512,596
5964,7,4,0,256,596
5964,8,8,0,128,596
5964,9,16,0,64,595
5964,10,32,0,32,595
5964,11,32,0,32,595
5964,12,32,0,32,595
5964,13,32,0,32,595
5964,14,32,0,32,595
6685,5,1,0,1024,669
6685,4,8,0,128,8
6685,6,2,0,512,668
6685,7,4,0,256,668
6685,8,8,0,128,668
6685,9,16,0,64,667
6685,10,32,0,32,667
6685,11,32,0,32,667
6685,12,32,0,32,667
6685,13,32,0,32,667
6685,14,32,0,32,667
7456,5,1,0,1024,746
7456,4,8,0,128,9
7456,6,2,0,512,745
7456,7,4,0,256,745
7456,8,8,0,128,745
7456,9,16,0,64,744
7456,10,32,0,32,744
7456,11,32,0,32,744
7456,12,32,0,32,744
7456,13,32,0,32,744
7456,14,32,0,32,744
8307,5,1,0,1024,831
8307,4,8,0,128,10
8307,6,2,0,512,830
8307,7,4,0,256,830
8307,8,8,0,128,830
8307,9,16,0,64,829
8307,10,32,0,32,829
8307,11,32,0,32,829
8307,12,32,0,32,829
8307,13,32,0,32,829
8307,14,32,0,32,829
9017,5,1,0,1024,902
9017,4,8,0,128,10
9017,6,2,0,512,901
9017,7,4,0,256,901
9017,8,8,0,128,901
9017,9,16,0,64,900
9017,10,32,0,32,900
9017,11,32,0,32,900
9017,12,32,0,32,900
9017,13,32,0,32,900
9017,14,32,0,32,900
9777,5,1,0,1024,978
9777,4,8,0,128,10
9777,6,2,0,512,977
9777,7,4,0,256,977
9777,8,8,0,128,977
9777,9,16,0,64,976
9777,10,32,0,32,976
9777,11,32,0,32,976
9777,12,32,0,32,976
9777,13,32,0,32,976
9777,14,32,0,32,976
10487,5,1,0,1024,1049
10487,4,8,0,128,10
10487,6,2,0,512,1048
10487,7,4,0,256,1048
10487,8,8,0,128,1048
10487,9,16,0,64,1047
10487,10,32,0,32,1047
10487,11,32,0,32,1047
10487,12,32,0,32,1047
10487,13,32,0,32,1047
10487,14,32,0,32,1047
11247,5,1,0,1024,1125
11247,4,8,0,128,10
11247,6,2,0,512,1124
11247,7,4,0,256,1124
11247,8,8,0,128,1124
11247,9,16,0,64,1123
11247,10,32,0,32,1123
11247,11,32,0,32,1123
11247,12,32,0,32,1123
11247,13,32,0,32,1123
11247,14,32,0,32,1123
11957,5,1,0,1024,1196
11957,4,8,0,128,10
11957,6,2,0,512,1195
11957,7,4,0,256,1195
11957,8,8,0,128,1195
11957,9,16,0,64,1194
11957,10,32,0,32,1194
11957,11,32,0,32,1194
11957,12,32,0,32,1194
11957,13,32,0,32,1194
11957,14,32,0,32,1194
12717,5,1,0,1024,1272
12717,4,8,0,128,10
12717,6,2,0,512,1271
12717,7,4,0,256,1271
12717,8,8,0,128,1271
12717,9,16,0,64,1270
12717,10,32,0,32,1270
12717,11,32,0,32,1270
12717,12,32,0,32,1270
12717,13,32,0,32,1270
12717,14,32,0,32,1270
13427,5,1,0,1024,1343
13427,4,8,0,128,10
13427,6,2,0,512,1342
13427,7,4,0,256,1342
13427,8,8,0,128,1342
13427,9,16,0,64,1341
13427,10,32,0,32,1341
13427,11,32,0,32,1341
13427,12,32,0,32,1341
13427,13,32,0,32,1341
13427,14,32,0,32,1341
14187,5,1,0,1024,1419
14187,4,8,0,128,10
14187,6,2,0,512,1418
14187,7,4,0,256,1418
14187,8,8,0,128,1418
14187,9,16,0,64,1417
