Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,128,128,0
100,2,8,640,128,1
100,5,1,1744,1024,2
100,4,8,640,128,1
100,6,2,1664,512,2
100,7,4,1420,256,3
100,8,8,1305,128,5
100,9,16,1254,64,9
100,10,32,1201,32,16
100,11,32,1210,32,16
100,12,32,1217,32,16
100,13,32,1223,32,16
100,14,32,1228,32,16
228,1,8,128,128,0
228,2,8,640,128,1
228,5,1,2768,1024,3
228,4,8,640,128,1
228,6,2,2176,512,3
228,7,4,1932,256,5
228,8,8,1945,128,10
228,9,16,1958,64,20
228,10,32,1905,32,38
228,11,32,1914,32,38
228,12,32,1921,32,38
228,13,32,1895,32,37
228,14,32,1900,32,37
362,1,8,128,128,0
362,2,8,640,128,1
362,5,1,2768,1024,3
362,4,8,640,128,1
362,6,2,2688,512,4
362,7,4,2700,256,8
362,8,8,2713,128,16
362,9,16,2662,64,31
362,10,32,2641,32,61
362,11,32,2618,32,60
362,12,32,2625,32,60
362,13,32,2631,32,60
362,14,32,2636,32,60
490,1,8,128,128,0
490,2,8,640,128,1
490,5,1,3792,1024,4
490,4,8,640,128,1
490,6,2,3712,512,6
490,7,4,3468,256,11
490,8,8,3353,128,21
490,9,16,3302,64,41
490,10,32,3313,32,82
490,11,32,3322,32,82
490,12,32,3329,32,82
490,13,32,3303,32,81
490,14,32,3308,32,81
623,1,8,128,128,0
623,2,8,640,128,1
623,5,1,4816,1024,5
623,4,8,640,128,1
623,6,2,4224,512,7
623,7,4,4236,256,14
623,8,8,4121,128,27
623,9,16,4070,64,53
623,10,32,4017,32,104
623,11,32,4026,32,104
623,12,32,4033,32,104
623,13,32,4007,32,103
623,14,32,4012,32,103
751,1,8,128,128,0
751,2,8,640,128,1
751,5,1,4816,1024,5
751,4,8,640,128,1
751,6,2,4736,512,8
751,7,4,4748,256,16
751,8,8,4761,128,32
751,9,16,4710,64,63
751,10,32,4721,32,126
751,11,32,4730,32,126
751,12,32,4737,32,126
751,13,32,4711,32,125
751,14,32,4716,32,125
884,1,8,128,128,0
